#time,V_x,k,SlipAngle,LateralForce,DynamicS,AbsVy,
1,[0.],10000,0.0,0.0,[0.]
2,[-4.58984125e-05],10000,[-0.],0.0,[0.]
3,[0.00032784],10000,[0.],0.0,[0.]
4,[0.00030223],10000,[0.],0.0,[0.]
5,[0.00024823],10000,[0.],0.0,[0.]
6,[0.00020072],10000,[0.],0.0,[0.]
7,[0.00016193],10000,[0.],0.0,[0.]
8,[0.0001306],10000,[0.],0.0,[0.]
9,[0.00010534],10000,[0.],0.0,[0.]
10,[8.49761728e-05],10000,[0.],0.0,[0.]
11,[6.85553366e-05],10000,[0.],0.0,[0.]
12,[5.53149909e-05],10000,[0.],0.0,[0.]
13,[4.46382766e-05],10000,[0.],0.0,[0.]
14,[3.60280914e-05],10000,[0.],0.0,[0.]
15,[2.90838222e-05],10000,[0.],0.0,[0.]
16,[2.34825982e-05],10000,[0.],0.0,[0.]
17,[1.89641904e-05],10000,[0.],0.0,[0.]
18,[1.53188474e-05],10000,[0.],0.0,[0.]
19,[1.23774962e-05],10000,[0.],0.0,[0.]
20,[1.00038461e-05],10000,[0.],0.0,[0.]
21,[8.08802769e-06],10000,[0.],0.0,[0.]
22,[6.54146638e-06],10000,[0.],0.0,[0.]
23,[5.29275132e-06],10000,[0.],0.0,[0.]
24,[4.28430646e-06],10000,[0.],0.0,[0.]
25,[3.46970761e-06],10000,[0.],0.0,[0.]
26,[2.81152008e-06],10000,[0.],0.0,[0.]
27,[2.27955595e-06],10000,[0.],0.0,[0.]
28,[1.8494694e-06],10000,[0.],0.0,[0.]
29,[1.50162449e-06],10000,[0.],0.0,[0.]
30,[1.2201826e-06],10000,[0.],0.0,[0.]
31,[9.92366757e-07],10000,[0.],0.0,[0.]
32,[8.07868691e-07],10000,[0.],0.0,[0.]
33,[6.58370803e-07],10000,[0.],0.0,[0.]
34,[5.37160814e-07],10000,[0.],0.0,[0.]
35,[4.38821108e-07],10000,[0.],0.0,[0.]
36,[3.58978267e-07],10000,[0.],0.0,[0.]
37,[2.94101146e-07],10000,[0.],0.0,[0.]
38,[2.41338053e-07],10000,[0.],0.0,[0.]
39,[1.98385476e-07],10000,[0.],0.0,[0.]
40,[0.],10000,[0.],0.0,[0.]
41,[0.],10000,[0.],0.0,[0.]
42,[0.],10000,[0.],0.0,[0.]
43,[0.],10000,[0.],0.0,[0.]
44,[0.],10000,[0.],0.0,[0.]
45,[0.],10000,[0.],0.0,[0.]
46,[0.],10000,[0.],0.0,[0.]
47,[0.],10000,[0.],0.0,[0.]
48,[0.],10000,[0.],0.0,[0.]
49,[0.],10000,[0.],0.0,[0.]
50,[0.],10000,[0.],0.0,[0.]
51,[0.],10000,[0.],0.0,[0.]
52,[0.],10000,[0.],0.0,[0.]
53,[1.13874146e-07],10000,[0.],0.0,[0.]
54,[2.12536498e-07],10000,[0.],0.0,[0.]
55,[2.12580091e-07],10000,[0.],0.0,[0.]
56,[2.12578047e-07],10000,[0.],0.0,[0.]
57,[2.12576402e-07],10000,[0.],0.0,[0.]
58,[2.12575086e-07],10000,[0.],0.0,[0.]
59,[2.12574034e-07],10000,[0.],0.0,[0.]
60,[2.12573192e-07],10000,[0.],0.0,[0.]
61,[2.12572518e-07],10000,[0.],0.0,[0.]
62,[2.12571979e-07],10000,[0.],0.0,[0.]
63,[2.12571548e-07],10000,[0.],0.0,[0.]
64,[2.12571203e-07],10000,[0.],0.0,[0.]
65,[-8.51474979e-08],10000,[-0.],0.0,[0.]
66,[-8.53163154e-08],10000,[-0.],0.0,[0.]
67,[-8.53109144e-08],10000,[-0.],0.0,[0.]
68,[-8.53065569e-08],10000,[-0.],0.0,[0.]
69,[-8.5303071e-08],10000,[-0.],0.0,[0.]
70,[-8.53002823e-08],10000,[-0.],0.0,[0.]
71,[-8.52980513e-08],10000,[-0.],0.0,[0.]
72,[-8.52962666e-08],10000,[-0.],0.0,[0.]
73,[-8.52948388e-08],10000,[-0.],0.0,[0.]
74,[-8.52936966e-08],10000,[-0.],0.0,[0.]
75,[-8.52927829e-08],10000,[-0.],0.0,[0.]
76,[-1.03820715e-07],10000,[-0.],0.0,[0.]
77,[-1.04028593e-07],10000,[-0.],0.0,[0.]
78,[-1.04021229e-07],10000,[-0.],0.0,[0.]
79,[-1.04015292e-07],10000,[-0.],0.0,[0.]
80,[2.48465991e-09],10000,[0.],0.0,[0.]
81,[2.48190963e-09],10000,[0.],0.0,[0.]
82,[-4.17398225e-08],10000,[-0.],0.0,[0.]
83,[3.3471817e-07],10000,[0.],0.0,[0.]
84,[3.09876213e-07],10000,[0.],0.0,[0.]
85,[2.54693011e-07],10000,[0.],0.0,[0.]
86,[2.05965883e-07],10000,[0.],0.0,[0.]
87,[1.66165135e-07],10000,[0.],0.0,[0.]
88,[1.34017586e-07],10000,[0.],0.0,[0.]
89,[1.0809435e-07],10000,[0.],0.0,[0.]
90,[8.71942916e-08],10000,[0.],0.0,[0.]
91,[7.03435115e-08],10000,[0.],0.0,[0.]
92,[5.67565512e-08],10000,[0.],0.0,[0.]
93,[4.58004036e-08],10000,[0.],0.0,[0.]
94,[3.69649485e-08],10000,[0.],0.0,[0.]
